"path","type","role_in_project","status_notes","used_for_conclusion"
"README.md","document","Current high-level repository overview","Current narrative summary; consistent with BO-era workflow framing","yes"
"README.txt","document","Historical narrative and transition memo","Useful for history; not the strongest current authority","no"
"AGENTS.md","document","Repository operating notes","Important for repo usage but not scientific evidence","no"
"code_simulation/CURRENT_WORKFLOW.md","document","Current workflow authority","Strongest single workflow-status memo inspected","yes"
"RESULTS_INDEX.md","document","Maps result bundles to interpretation","Current curated index; useful for historical versus current classification","yes"
"DECISION_STATUS_MEMO.md","document","Current project decision memo","Current status synthesis; explicitly distinguishes settled versus unsettled items","yes"
"OPTIMIZATION_EVIDENCE_MEMO.md","document","Current knot-count evidence memo","Current synthesis of N=3 versus N=4 evidence","yes"
"optimization_evidence_summary.csv","summary_csv","Compact current knot-count evidence table","Current summary table used by the evidence memo","yes"
"optimization_evidence_figures/","figure_package","Exported figures supporting the current BO evidence memo","Presentation-grade support package; useful but secondary to underlying study summaries","partial"
"code_simulation/run_open_loop_optimization.py","workflow_script","Main active orchestration entry point","Current BO/full-process runner; note that CLI default still points to 5 knots","yes"
"code_simulation/open_loop_problem.py","source_code","Current objective definition and simulation evaluation path","Core definition of what the optimizer is actually optimizing","yes"
"code_simulation/open_loop_optimizer.py","source_code","Optimization wrapper with feasibility logic and logging","Current early rejection and penalty behavior lives here","yes"
"code_simulation/open_loop_bayesian_optimizer.py","source_code","Current BO backend configuration","Current active optimizer backend","yes"
"code_simulation/open_loop_cascade.py","source_code","Implements the explicit theta-to-plate cascade","Core current workflow structure","yes"
"code_simulation/reachability_constraints.py","source_code","Implements admissibility rules","Current admissibility is encoded here; unsupported warming is rejected","yes"
"code_simulation/run_open_loop_schedule_sensitivity_study.py","study_runner","Current BO study runner for schedule-family comparisons","Directly relevant to current N and schedule conclusions","yes"
"code_simulation/run_open_loop_fixed_n_bo_study.py","study_runner","Older BO study runner for fixed-N comparisons","Historically relevant but partly superseded by later studies","partial"
"code_simulation/run_open_loop_study.py","study_runner","Older Nelder-Mead study runner","Historical workflow branch, not current default path","no"
"code_simulation/run_full_freezing_diagnostics.py","workflow_script","Auxiliary full-freezing diagnostic runner","Current script exists, but saved snapshot uses a legacy early-drop profile source","partial"
"code_simulation/run_full_freezing_runtime_compare.py","workflow_script","Auxiliary runtime-vs-accuracy runner","Current script exists, but saved snapshot reflects an older default snapshot","partial"
"code_simulation/export_final_locked_n3_workflow.py","workflow_script","Exports the historical locked N=3 workflow package","Useful for reproducibility and packaging, not proof of scientific optimality","no"
"data/characterization_cryostage/","source_data","Raw cryostage characterization basis","Primary evidence source for transient reachability and settling behavior","yes"
"data/characterization_cryostage/cryostage_characterization/","source_code","Embedded and desktop tooling for characterization acquisition","Important for repo scope and provenance; not directly used for current scientific conclusion","no"
"data/constant_plateT_water_ICT_readings/","source_data","Raw freezing-run telemetry for long hold support","Primary evidence source for empirical hold support","yes"
"data/simulations_calibrated/","source_data","Calibrated simulation cases and experiment comparisons","Supports model credibility and calibration context; not direct knot-count evidence","partial"
"code_simulation/results/characterization_constraints/stage1_reachability/characterization_constraints_summary.md","result_summary","Stage-1 transient reachability evidence","Current admissibility foundation for downward cooling","yes"
"code_simulation/results/characterization_constraints/stage2_hold_telemetry/hold_summary.md","result_summary","Stage-2 long-hold support evidence","Current admissibility foundation for supported hold durations","yes"
"code_simulation/results/characterization_constraints/admissibility_diagnostics/revised_admissibility_summary.md","result_summary","Current combined admissibility interpretation","Matches present two-regime admissibility logic better than the older summary","yes"
"code_simulation/results/characterization_constraints/admissibility_diagnostics/admissibility_diagnostics_summary.md","result_summary","Older admissibility diagnostic summary","Historically useful but not the final current statement","no"
"code_simulation/results/cryostage_model_validation/validation_20260329/validation_summary.txt","result_summary","Reduced cryostage model validation","Supports continued use of the reduced cryostage model in the optimization loop","partial"
"code_simulation/results/open_loop_bayesian_optimization/schedule_sensitivity_first_pass_n3_n4/study_summary.txt","result_summary","Main current schedule-sensitivity comparison","Current key evidence that N winner depends on schedule family","yes"
"code_simulation/results/open_loop_bayesian_optimization/schedule_sensitivity_first_pass_n3_n4/study_summary.csv","summary_csv","Tabular version of the main schedule-sensitivity study","Supports detailed comparison and infeasibility-rate interpretation","yes"
"code_simulation/results/open_loop_bayesian_optimization/uniform_confirmation_n3_n4_multiseed_seed17/study_summary.txt","result_summary","Uniform schedule confirmation run for seed 17","Current evidence; supports seed dependence under uniform schedule","yes"
"code_simulation/results/open_loop_bayesian_optimization/uniform_confirmation_n3_n4_multiseed_seed29/study_summary.txt","result_summary","Uniform schedule confirmation run for seed 29","Current evidence; supports seed dependence under uniform schedule","yes"
"code_simulation/results/open_loop_bayesian_optimization/uniform_confirmation_n3_n4_multiseed_seed41/study_summary.txt","result_summary","Uniform schedule confirmation run for seed 41","Current evidence; supports seed dependence under uniform schedule","yes"
"code_simulation/results/open_loop_bayesian_optimization/fixed_n_bo_comparison_full_process_seed17_init4_iter8/study_summary.md","result_summary","Earlier BO comparison across several N values","Historically important but superseded by later confirmation and schedule-sensitivity work","partial"
